id,lat,lon
652,30.5,66.5
653,30.5,66.5
654,30.5,66.5
655,30.5,66.5
656,37.5,139.0
657,37.5,139.0
658,33.5,70.5
659,33.5,70.5
660,48.5,119.0
661,48.5,119.0
662,47.5,133.5
663,47.5,133.5
664,33.5,70.0
665,33.5,70.0
666,25.5,69.0
667,25.5,69.0
668,63.0,129.5
669,63.0,129.5
670,33.5,70.0
671,33.5,70.0
672,36.0,71.5
673,36.0,71.5
674,30.5,66.5
675,30.5,66.5
676,30.5,66.5
677,30.5,66.5
678,30.5,66.5
679,30.5,66.5
680,36.5,74.0
681,36.5,74.0
682,25.5,69.0
683,25.5,69.0
684,36.0,71.5
685,36.0,71.5
686,30.5,66.5
687,30.5,66.5
688,33.5,70.5
689,33.5,70.5
690,30.5,66.5
691,30.5,66.5
692,36.0,71.5
693,36.0,71.5
694,30.5,66.5
695,30.5,66.5
696,33.5,70.5
697,33.5,70.5
698,33.5,70.5
699,33.5,70.5
700,36.0,71.5
701,36.0,71.5
702,30.5,66.5
703,30.5,66.5
704,30.5,66.5
705,30.5,66.5
706,25.5,69.0
707,25.5,69.0
708,33.5,70.5
709,33.5,70.5
710,43.0,0.0
711,43.0,0.0
712,36.5,74.0
713,36.5,74.0
714,36.5,74.0
715,36.5,74.0
716,25.5,69.0
717,25.5,69.0
718,33.5,70.5
719,33.5,70.5
720,30.5,66.5
721,30.5,66.5
722,30.5,66.5
723,30.5,66.5
724,25.5,69.0
725,25.5,69.0
726,30.5,66.5
727,30.5,66.5
728,33.5,70.5
729,33.5,70.5
730,36.0,71.5
731,36.0,71.5
732,30.5,66.5
733,30.5,66.5
734,30.5,66.5
735,30.5,66.5
736,25.5,69.0
737,25.5,69.0
738,30.5,66.5
739,30.5,66.5
740,25.5,69.0
741,25.5,69.0
742,33.5,70.5
743,33.5,70.5
744,36.0,71.5
745,36.0,71.5
746,36.5,74.0
747,36.5,74.0
748,30.5,66.5
749,30.5,66.5
750,43.0,0.0
751,43.0,0.0
752,33.5,70.5
753,33.5,70.5
754,33.5,70.5
755,33.5,70.5
756,36.0,71.5
757,36.0,71.5
758,36.0,71.5
759,36.0,71.5
760,30.5,66.5
761,30.5,66.5
762,43.0,0.0
763,43.0,0.0
764,36.5,74.0
765,36.5,74.0
766,30.5,66.5
767,30.5,66.5
768,26.0,64.0
769,26.0,64.0
770,46.0,2.0
771,46.0,2.0
772,46.0,2.0
773,46.0,2.0
774,25.5,69.0
775,25.5,69.0
776,25.5,69.0
777,25.5,69.0
778,36.5,74.0
779,36.5,74.0
780,25.5,69.0
781,25.5,69.0
782,30.5,66.5
783,30.5,66.5
784,30.5,66.5
785,30.5,66.5
786,30.5,66.5
787,30.5,66.5
788,26.0,64.0
789,26.0,64.0
790,61.0,40.0
791,61.0,40.0
792,30.5,66.5
793,30.5,66.5
794,36.0,71.5
795,36.0,71.5
796,26.0,64.0
797,26.0,64.0
798,33.5,70.5
799,33.5,70.5
800,61.0,40.0
801,61.0,40.0
802,26.0,64.0
803,26.0,64.0
804,33.5,70.5
805,33.5,70.5
806,36.0,71.5
807,36.0,71.5
808,26.0,64.0
809,26.0,64.0
810,46.0,2.0
811,46.0,2.0
812,46.0,2.0
813,46.0,2.0
814,30.5,66.5
815,30.5,66.5
816,26.0,64.0
817,26.0,64.0
818,43.0,0.0
819,43.0,0.0
820,26.0,64.0
821,26.0,64.0
822,26.0,64.0
823,26.0,64.0
824,25.5,69.0
825,25.5,69.0
826,61.0,40.0
827,61.0,40.0
828,46.0,2.0
829,46.0,2.0
830,61.0,40.0
831,61.0,40.0
832,61.0,40.0
833,61.0,40.0
834,46.0,2.0
835,46.0,2.0
836,43.0,0.0
837,43.0,0.0
838,46.0,2.0
839,46.0,2.0
840,46.0,2.0
841,46.0,2.0
842,26.0,64.0
843,26.0,64.0
844,44.0,39.0
845,44.0,39.0
846,26.0,64.0
847,26.0,64.0
848,44.0,39.0
849,44.0,39.0
850,61.0,40.0
851,61.0,40.0
852,61.0,40.0
853,61.0,40.0
854,25.5,69.0
855,25.5,69.0
856,61.0,40.0
857,61.0,40.0
858,30.5,66.5
859,30.5,66.5
860,44.0,39.0
861,44.0,39.0
862,43.0,0.0
863,43.0,0.0
864,46.0,2.0
865,46.0,2.0
866,26.0,64.0
867,26.0,64.0
868,46.0,2.0
869,46.0,2.0
870,46.0,2.0
871,46.0,2.0
872,46.0,2.0
873,46.0,2.0
874,46.0,2.0
875,46.0,2.0
876,26.0,64.0
877,26.0,64.0
878,30.5,66.5
879,30.5,66.5
880,46.0,2.0
881,46.0,2.0
882,46.0,2.0
883,46.0,2.0
884,46.0,2.0
885,46.0,2.0
886,26.0,64.0
887,26.0,64.0
888,46.0,2.0
889,46.0,2.0
890,61.0,40.0
891,61.0,40.0
892,26.0,64.0
893,26.0,64.0
894,61.0,40.0
895,61.0,40.0
896,30.5,66.5
897,30.5,66.5
898,43.0,0.0
899,43.0,0.0
900,46.0,2.0
901,46.0,2.0
902,61.0,40.0
903,61.0,40.0
904,46.0,2.0
