id	xcoord	ycoord	type	neighbours
371	11	18	0	351,370,372,391
372	12	18	0	352,371,373,392
373	13	18	0	353,372,374,393
374	14	18	0	354,373,375,394
375	15	18	0	355,374,376,395
376	16	18	0	356,375,377,396
377	17	18	0	357,376,378,397
378	18	18	0	358,377,379,398
379	19	18	0	359,378,399
380	0	19	0	360,381
381	1	19	0	361,380,382
382	2	19	0	362,381,383
383	3	19	0	363,382,384
384	4	19	0	364,383,385
385	5	19	0	365,384,386
386	6	19	0	366,385,387
387	7	19	0	367,386,388
388	8	19	0	368,387,389
389	9	19	0	369,388,390
390	10	19	0	370,389,391
391	11	19	0	371,390,392
392	12	19	0	372,391,393
393	13	19	0	373,392,394
394	14	19	0	374,393,395
395	15	19	0	375,394,396
396	16	19	0	376,395,397
397	17	19	0	377,396,398
398	18	19	0	378,397,399
399	19	19	0	379,398
