rate0 rate1 rate2 loglikelihood
0.02875099 0.17944045 0.28899724 -122826.50060602835
0.04958894 0.10949647 0.19026276 -123662.84795849929
0.06375526 0.06965159 0.07808006 -124069.07333905934
0.06490602 0.0594147 0.0349894 -124007.66877036625
0.04523664 0.14716934 0.30524556 -123529.39910435062
0.02069861 0.14584792 0.0958187 -122538.11021186638
0.02054917 0.17824181 0.08278833 -122540.33032455626
0.02842086 0.0910598 0.04562702 -122619.65271240586
0.05418257 0.06864538 0.18992988 -123811.61527015288
0.08509756 0.04765751 0.08854749 -124608.48478021847
0.02272451 0.02071877 0.01481747 -122233.66379006216
0.06185994 0.04022537 0.02642991 -123827.1411802826
0.02094449 0.20989779 0.35387241 -122619.07477888654
0.05142229 0.09287407 0.22551071 -123736.34263218005
0.08334032 0.02315203 0.0593543 -124479.2808097428
0.02184322 0.1736859 0.12542047 -122574.95776636225
0.02058578 0.14361628 0.00214228 -122303.63662262692
0.06312609 0.14974785 0.52521167 -124199.61691281552
0.09356105 0.11070218 0.1266389 -124831.18579860518
0.06147434 0.04362474 0.03907066 -123879.54680641895
0.03432672 0.1569014 0.29107941 -123056.0751599786
0.04248056 0.07039173 0.15986235 -123330.34544291034
0.08487735 0.02065843 0.06052799 -124504.43332442336
0.04788409 0.14755093 0.33779824 -123642.65074575398
0.01953647 0.11777333 0.03216619 -122453.88564743559
0.05415235 0.05663873 0.03290446 -123613.66029601594
0.00192954 0.1824596 0.10613947 -147564.8016692238
0.06194025 0.06620527 0.07576447 -124004.70189776736
0.01468807 0.02019391 0.00855588 -122698.98058081594
0.02141086 0.23756351 0.44844098 -122637.07197500273
0.03649064 0.08276145 0.12652524 -123057.19620378395
0.05687048 0.05360665 0.03562882 -123722.73425815807
0.03050482 0.18347466 0.32779644 -122904.68521342303
0.07297282 0.04349146 0.05222446 -124266.82219280448
0.03821529 0.21846448 0.51972103 -123269.59964663666
0.02079232 0.14770116 0.17361089 -122572.99781223116
0.05987641 0.06769907 0.07178235 -123932.20009616303
0.05336947 0.41191343 1.01365367 -123931.95333680071
0.02054737 0.15518943 0.10186583 -122544.80513620196
0.03642416 0.09681052 0.04875088 -122963.03684622009
0.03056857 0.10641911 0.11501017 -122809.48555250687
0.09680466 0.01036281 0.06117016 -124677.41417414846
0.08835877 0.01266557 0.12226547 -124576.43691949575
0.05261636 0.06061877 0.0314968 -123553.82958554933
0.03463964 0.21610529 0.48304252 -123107.4343065103
0.02795374 0.13137595 0.09136753 -122702.05322161982
0.01975404 0.12313165 0.02594099 -122437.86146368567
0.04756026 0.05568786 0.00344085 -123033.48713437557
0.03201586 0.14541308 0.24584747 -122942.43429902453
0.08001246 0.04011288 0.0657382 -124460.39456047145
0.09013346 0.02589632 0.1063522 -124671.94974692652
0.00572306 0.29353504 0.53610613 -127479.37679258958
0.0178578 0.15719649 0.09029493 -122567.30434156585
0.04911393 0.08759262 0.08785482 -123569.84266481701
0.01765664 0.12637291 0.00866673 -122435.2919428387
0.02165851 0.08197435 0.0084998 -122305.50466157166
0.0127038 0.2329302 0.38834536 -123037.74640284377
0.02813064 0.10889399 0.11857996 -122717.88823720804
0.05333227 0.0345903 0.03760319 -123549.05337221792
0.02920878 0.12704901 0.26962768 -122825.17409082587
0.02061402 0.14876759 0.02977243 -122454.94513677475
0.03741357 0.04771648 0.19742708 -123091.26356265144
0.00797449 0.18855593 0.13957725 -124922.24186088036
0.05007978 0.08349792 0.07912889 -123594.84301887627
0.02803001 0.10719948 0.10448175 -122702.61158801102
0.01994085 0.1448828 0.00020459 -122206.34160535442
0.03336281 0.08596571 0.02140598 -122706.89593428209
0.02082307 0.1782699 0.22644524 -122594.3336134669
0.02010433 0.16194386 0.35719605 -122605.06157586453
0.02067268 0.13909276 0.06860249 -122513.16534264271
0.01769068 0.12664869 0.00854065 -122433.04685197027
0.0489784 0.05768462 0.00279124 -123086.74341230423
0.05303259 0.03835579 0.04117326 -123562.6629476411
0.02022935 0.14260027 0.02716816 -122446.6225158486
0.02186021 0.03890666 0.01373975 -122283.52829440874
0.02028896 0.18071867 0.2309001 -122592.24634356934
0.05072612 0.04411617 0.02217838 -123385.1753020883
0.04960634 0.09770441 0.11460869 -123620.1522782188
0.01885918 0.1942977 0.25424963 -122601.72667104106
0.0329386 0.09355616 0.08668163 -122873.9063707403
0.02006438 0.15788159 0.38452245 -122606.99786167943
0.03147132 0.11953908 0.07591226 -122816.34316489204
0.04827721 0.0530673 0.00768421 -123143.91706611445
0.02087678 0.12030944 0.25625978 -122583.5101514789
0.02048611 0.15933205 0.14751457 -122566.52709366691
0.05952361 0.02726666 0.00139829 -123334.30317927091
0.02711189 0.10888215 0.12396259 -122684.5870781271
0.06090872 0.06623513 0.0958389 -123991.72263929016
0.02158719 0.07144848 0.00884708 -122297.33279475693
0.0078631 0.23768752 0.33453928 -124974.62710716345
0.00188946 0.16629259 0.43615963 -147956.16610175575
0.01305572 0.15288522 0.06344645 -122955.19783966891
0.01804567 0.11917837 0.0089833 -122416.14427314875
0.02929099 0.1403174 0.16916901 -122804.18312639865
0.02615313 0.1106393 0.14430567 -122664.43817148817
0.0615189 0.07321966 0.01387213 -123797.36969720747
0.02192032 0.06406399 0.1199013 -122512.30225641685
0.05020492 0.05817162 0.04341083 -123499.06279378674
0.02156716 0.08309867 0.16604797 -122546.50259753407
0.02600325 0.11146546 0.14082911 -122658.2547718981
0.02100995 0.14164944 0.07625659 -122523.00032388725
