rate loglikelihood
0.02690849 -122386.26284253245
0.02174212 -122281.37274272265
0.02253841 -122284.98927785087
0.02494518 -122326.78519869928
0.01932551 -122313.79007048435
0.02442391 -122314.38783709338
0.01868815 -122336.09402077617
0.02474262 -122321.77595919676
0.02173079 -122281.36531180781
0.0211781 -122282.6273340866
0.02487077 -122324.91734735662
0.02226331 -122283.07135311802
0.02261921 -122285.67982337427
0.02459195 -122318.2064313501
0.02181918 -122281.45746129935
0.02487485 -122325.01916167866
0.02354073 -122297.34765009698
0.02093275 -122284.25803729886
0.02177311 -122281.39966437664
0.02201617 -122281.94034314406
0.02498676 -122327.84258661572
0.02289949 -122288.50643041349
0.02325342 -122292.99295658902
0.02176083 -122281.38784299088
0.02197216 -122281.7996955634
0.02555832 -122343.336956699
0.02223987 -122282.93963399067
0.02076505 -122285.77337542029
0.02546055 -122340.56359263186
0.02200641 -122281.90755249462
0.02341692 -122295.39527862705
0.02213308 -122282.40386862919
0.02218619 -122282.65706031775
0.02377244 -122301.30115446908
0.02293017 -122288.85562867823
0.02181689 -122281.45408750542
0.02074043 -122286.02404397615
0.0231032 -122290.96727344475
0.02235997 -122283.66776991215
0.02123748 -122282.33452698575
0.02439035 -122313.64621274645
0.0221846 -122282.64908317463
0.02249481 -122284.64025941482
0.02260794 -122285.58006236458
0.02108324 -122283.1767447776
0.02314378 -122291.49709158059
0.02242794 -122284.13768899575
0.02228686 -122283.2088112696
0.02344398 -122295.81228049097
0.02220868 -122282.77220605446
0.02099968 -122283.7450197888
0.02217969 -122282.62464267785
0.02227115 -122283.11656154467
0.0228759 -122288.24326223836
0.0222357 -122282.91673544983
0.0204284 -122289.8429966731
0.02217969 -122282.62464267785
0.02227115 -122283.11656154467
0.0222357 -122282.91673544983
0.02099968 -122283.7450197888
0.0228759 -122288.24326223836
0.02180667 -122281.43966505998
0.02226184 -122283.06298270574
0.02126777 -122282.20009064984
0.02217275 -122282.59051000343
0.02442287 -122314.36474203324
0.02156501 -122281.406113395
0.02230774 -122283.33491789293
0.01972699 -122303.0656777528
0.02232607 -122283.44888752792
0.02237224 -122283.74951616382
0.02197728 -122281.81509025684
0.02157803 -122281.39267421351
0.02217247 -122282.58912482313
0.02271649 -122286.58580291258
0.02113349 -122282.8731241245
